hour,solar_kw,bess_soc_percent,mall_load_kw
292,2024-01-13 04:00:00-05:00,2024-01-13 04:00:00,13/01/2024 04:00;553
293,2024-01-13 05:00:00-05:00,2024-01-13 05:00:00,13/01/2024 05:00;519
294,2024-01-13 06:00:00-05:00,2024-01-13 06:00:00,13/01/2024 06:00;522
295,2024-01-13 07:00:00-05:00,2024-01-13 07:00:00,13/01/2024 07:00;710
296,2024-01-13 08:00:00-05:00,2024-01-13 08:00:00,13/01/2024 08:00;1003
297,2024-01-13 09:00:00-05:00,2024-01-13 09:00:00,13/01/2024 09:00;1165
298,2024-01-13 10:00:00-05:00,2024-01-13 10:00:00,13/01/2024 10:00;1829
299,2024-01-13 11:00:00-05:00,2024-01-13 11:00:00,13/01/2024 11:00;2271
300,2024-01-13 12:00:00-05:00,2024-01-13 12:00:00,13/01/2024 12:00;2336
301,2024-01-13 13:00:00-05:00,2024-01-13 13:00:00,13/01/2024 13:00;2333
302,2024-01-13 14:00:00-05:00,2024-01-13 14:00:00,13/01/2024 14:00;2353
