is_hora_punta,tarifa_soles_kwh,mall_cost_soles,mall_co2_indirect_kg
0,0.2916,330.67438,442.7136
0,0.2916,521.0892,697.6448
0,0.2916,682.05237,913.14557
0,0.2916,684.09357,915.87836
0,0.2916,689.34235,922.9056
0,0.2916,676.2204,905.3376
0,0.2916,628.1064,840.9216
0,0.2916,611.1936,818.2784
0,0.2916,600.98755,804.6144
1,0.4616,946.28,1190.025
1,0.4616,941.664,1184.22
1,0.4616,925.0464,1163.322
1,0.4616,836.8808,1052.4465
1,0.4616,499.4512,628.101
0,0.2916,209.36879,280.3072
0,0.2916,185.166,247.90399
0,0.2916,166.21199,222.528
0,0.2916,161.25479,215.89119
0,0.2916,181.3752,242.8288
0,0.2916,177.29279,237.36319
0,0.2916,168.25319,225.2608
0,0.2916,178.4592,238.92479
0,0.2916,218.40839,292.4096
0,0.2916,284.6016,381.0304
0,0.2916,332.71558,445.44638
0,0.2916,514.9656,689.4464
0,0.2916,635.97955,851.4624
0,0.2916,646.7688,865.90717
0,0.2916,647.06036,866.2976
0,0.2916,669.222,895.96796
0,0.2916,689.0508,922.5152
0,0.2916,691.092,925.248
0,0.2916,679.13635,909.2416
1,0.4616,1031.676,1297.4175
1,0.4616,998.9024,1256.202
1,0.4616,981.36163,1234.1431
1,0.4616,924.58484,1162.7415
1,0.4616,548.3808,689.63403
0,0.2916,214.0344,286.5536
0,0.2916,190.1232,254.5408
0,0.2916,180.5004,241.6576
0,0.2916,179.334,240.096
0,0.2916,169.12799,226.43199
0,0.2916,167.08679,223.69919
0,0.2916,177.29279,237.36319
0,0.2916,185.166,247.90399
0,0.2916,215.49239,288.50558
0,0.2916,289.55878,387.6672
0,0.2916,320.46838,429.0496
0,0.2916,541.7928,725.36316
0,0.2916,698.0904,934.61755
0,0.2916,689.34235,922.9056
0,0.2916,684.9684,917.04956
0,0.2916,684.09357,915.87836
0,0.2916,692.25836,926.8096
0,0.2916,689.0508,922.5152
0,0.2916,653.76715,875.2768
1,0.4616,1008.1344,1267.812
1,0.4616,994.28644,1250.397
1,0.4616,982.7464,1235.8845
1,0.4616,931.04724,1170.8685
1,0.4616,546.99603,687.8925
0,0.2916,205.57799,275.232
0,0.2916,186.3324,249.46559
0,0.2916,176.418,236.192
0,0.2916,180.5004,241.6576
0,0.2916,174.3768,233.4592
0,0.2916,172.33559,230.7264
0,0.2916,168.5448,225.6512
0,0.2916,177.29279,237.36319
0,0.2916,191.2896,256.1024
0,0.2916,221.32439,296.3136
0,0.2916,323.676,433.344
0,0.2916,546.1668,731.2192
0,0.2916,659.016,882.30396
0,0.2916,654.9336,876.8384
0,0.2916,660.1824,883.8656
0,0.2916,686.13477,918.6112
0,0.2916,686.13477,918.6112
0,0.2916,693.1332,927.9808
0,0.2916,686.4264,919.0016
1,0.4616,1083.3752,1362.4335
1,0.4616,1086.1448,1365.9165
1,0.4616,1067.6808,1342.6965
1,0.4616,966.1288,1214.9866
1,0.4616,542.38,682.0875
0,0.2916,199.1628,266.6432
0,0.2916,188.3736,252.1984
0,0.2916,183.12479,245.17119
0,0.2916,172.04399,230.336
0,0.2916,181.6668,243.2192
0,0.2916,176.12639,235.80159
0,0.2916,173.502,232.288
0,0.2916,200.3292,268.2048
0,0.2916,212.28479,284.21118
0,0.2916,284.31,380.63998
0,0.2916,356.9184,477.84958
0,0.2916,540.91797,724.19196
0,0.2916,681.17755,911.97437
0,0.2916,703.3392,941.6448
0,0.2916,717.0444,959.9936
0,0.2916,725.20917,970.9248
0,0.2916,723.4596,968.5824
0,0.2916,719.0856,962.7264
0,0.2916,715.2948,957.6512
1,0.4616,1129.0736,1419.9031
1,0.4616,1118.4568,1406.5515
1,0.4616,1086.1448,1365.9165
1,0.4616,980.9,1233.5625
1,0.4616,562.2288,707.049
0,0.2916,215.49239,288.50558
0,0.2916,189.2484,253.3696
0,0.2916,177.29279,237.36319
0,0.2916,159.50519,213.5488
0,0.2916,176.12639,235.80159
0,0.2916,175.25159,234.6304
0,0.2916,156.29759,209.2544
0,0.2916,181.08359,242.4384
0,0.2916,201.49559,269.7664
0,0.2916,271.47958,363.4624
0,0.2916,372.6648,498.93118
0,0.2916,579.9924,776.5056
0,0.2916,715.0032,957.2608
0,0.2916,712.08716,953.3568
0,0.2916,719.0856,962.7264
0,0.2916,738.03955,988.10236
0,0.2916,742.99677,994.7392
0,0.2916,755.24396,1011.136
0,0.2916,708.00476,947.8912
1,0.4616,1092.6072,1374.0435
1,0.4616,1065.8345,1340.3745
1,0.4616,1043.2161,1311.93
1,0.4616,940.7408,1183.059
1,0.4616,532.6864,669.89703
0,0.2916,219.5748,293.9712
0,0.2916,196.2468,262.7392
0,0.2916,180.5004,241.6576
0,0.2916,179.334,240.096
0,0.2916,177.29279,237.36319
0,0.2916,172.6272,231.11679
0,0.2916,169.12799,226.43199
0,0.2916,195.372,261.568
0,0.2916,219.28319,293.58078
0,0.2916,284.6016,381.0304
0,0.2916,355.4604,475.89758
0,0.2916,504.75958,675.7824
0,0.2916,612.06836,819.4496
0,0.2916,616.15076,824.91516
0,0.2916,626.6484,838.9696
0,0.2916,642.10315,859.66077
0,0.2916,647.9352,867.4688
0,0.2916,648.81,868.63995
0,0.2916,641.2284,858.48956
1,0.4616,1011.8272,1272.456
1,0.4616,1002.1336,1260.2655
1,0.4616,982.7464,1235.8845
1,0.4616,886.7336,1115.1405
1,0.4616,516.992,650.16003
0,0.2916,206.45279,276.4032
0,0.2916,180.5004,241.6576
0,0.2916,174.3768,233.4592
0,0.2916,173.21039,231.8976
0,0.2916,171.4608,229.55519
0,0.2916,168.25319,225.2608
0,0.2916,158.33879,211.9872
0,0.2916,181.08359,242.4384
0,0.2916,203.53679,272.4992
0,0.2916,279.64438,374.3936
0,0.2916,372.3732,498.5408
0,0.2916,547.04156,732.3904
0,0.2916,645.01917,863.56476
0,0.2916,654.9336,876.8384
0,0.2916,664.2648,889.3312
0,0.2916,668.93036,895.5776
0,0.2916,682.05237,913.14557
0,0.2916,682.63556,913.9264
0,0.2916,668.93036,895.5776
1,0.4616,1070.912,1346.76
1,0.4616,1059.3721,1332.2476
1,0.4616,1049.2168,1319.4766
1,0.4616,934.2784,1174.932
1,0.4616,534.0712,671.6385
0,0.2916,213.15959,285.3824
0,0.2916,182.5416,244.3904
0,0.2916,178.4592,238.92479
0,0.2916,176.418,236.192
0,0.2916,178.4592,238.92479
0,0.2916,173.21039,231.8976
0,0.2916,170.29439,227.99359
0,0.2916,195.372,261.568
0,0.2916,208.49399,279.136
0,0.2916,277.60318,371.6608
0,0.2916,356.9184,477.84958
0,0.2916,570.95276,764.4032
0,0.2916,705.08875,943.9872
0,0.2916,717.0444,959.9936
0,0.2916,696.34076,932.2752
0,0.2916,634.8132,849.90076
0,0.2916,639.1872,855.7568
0,0.2916,644.14435,862.39355
0,0.2916,628.9812,842.0928
1,0.4616,981.82324,1234.7235
1,0.4616,973.5144,1224.2745
1,0.4616,965.66724,1214.406
1,0.4616,932.432,1172.61
1,0.4616,582.07764,732.0105
0,0.2916,198.288,265.472
0,0.2916,168.25319,225.2608
0,0.2916,158.33879,211.9872
0,0.2916,179.334,240.096
0,0.2916,174.08519,233.0688
0,0.2916,173.21039,231.8976
0,0.2916,163.0044,218.2336
0,0.2916,172.33559,230.7264
0,0.2916,185.4576,248.29439
0,0.2916,260.982,349.408
0,0.2916,346.71237,464.18558
0,0.2916,500.96878,670.7072
0,0.2916,617.0256,826.08636
0,0.2916,624.8988,836.6272
0,0.2916,617.0256,826.08636
0,0.2916,612.06836,819.4496
0,0.2916,620.8164,831.16156
0,0.2916,623.73236,835.0656
0,0.2916,622.8576,833.8944
1,0.4616,964.2824,1212.6646
1,0.4616,949.97284,1194.6691
