Hour,non_shiftable_load
4962,2049.8282262076414
4963,1990.7682262076414
4964,1929.1802262076412
4965,1664.1282262076415
4966,1321.0
4967,743.0
4968,651.0
4969,600.0
4970,571.0
4971,557.0
4972,530.0
4973,499.0
4974,637.0
4975,754.0
4976,863.0
4977,1167.88
4978,1887.408
4979,2432.82
4980,2495.996
4981,2529.348
4982,2509.408
4983,2517.112
4984,2515.936
4985,2567.0519999999997
4986,2107.5922262076415
4987,1985.4762262076415
4988,1986.1802262076412
4989,1748.1282262076418
4990,1319.0
4991,585.0
4992,507.0
4993,477.0
4994,430.0
4995,413.0
4996,411.0
4997,386.0
4998,500.0
4999,628.0
5000,805.0
5001,1215.292
5002,1798.056
5003,2410.468
5004,2441.408
5005,2445.172
5006,2473.7599999999998
5007,2484.348
5008,2476.936
5009,2480.288
5010,1934.0042262076413
5011,1897.3562262076414
5012,1911.5922262076415
5013,1681.1282262076415
5014,1212.0
5015,633.0
5016,529.0
5017,474.0
5018,463.0
5019,460.0
5020,456.0
5021,415.0
5022,440.0
5023,594.0
5024,868.0
5025,1230.704
5026,1944.056
5027,2459.056
5028,2526.82
5029,2554.996
5030,2546.996
5031,2538.288
5032,2539.7
5033,2520.8759999999997
5034,2050.5922262076415
5035,1900.9442262076413
5036,1904.1202262076413
5037,1613.1282262076415
5038,1141.0
5039,620.0
5040,533.0
5041,451.0
5042,427.0
5043,421.0
5044,421.0
5045,392.0
5046,506.0
5047,667.0
5048,832.0
5049,1090.528
5050,1911.94
5051,2497.996
5052,2512.7599999999998
5053,2561.172
5054,2609.7599999999998
5055,2628.112
5056,2580.936
5057,2585.0519999999997
5058,2047.5922262076415
5059,1976.1802262076412
5060,1938.1802262076412
5061,1653.1282262076418
5062,1237.0
5063,641.0
5064,528.0
5065,474.0
5066,446.0
5067,437.0
5068,423.0
5069,401.0
5070,562.0
5071,736.0
5072,848.0
5073,1063.88
5074,1695.056
5075,2337.468
5076,2353.6440000000002
5077,2394.408
5078,2399.996
5079,2460.996
5080,2364.172
5081,2395.0519999999997
5082,1985.3562262076414
5083,1942.4162262076413
5084,1966.7682262076414
5085,1633.1282262076415
5086,1201.9999999999998
5087,609.0
5088,495.0
5089,443.0
5090,417.0
5091,415.0
5092,402.0
5093,376.0
5094,547.0
5095,685.0
5096,829.0
5097,1222.468
5098,1779.292
5099,2279.6440000000002
5100,2332.6440000000002
5101,2352.348
5102,2161.348
5103,2121.348
5104,2118.524
5105,2137.348
5106,1765.5922262076415
5107,1789.0042262076413
5108,1760.2402262076414
5109,1502.1282262076415
5110,1118.0
5111,585.0
5112,477.0
5113,431.0
5114,413.0
5115,396.0
5116,390.0
5117,369.0
5118,536.0
5119,630.0
5120,757.0
5121,1021.468
5122,1668.468
5123,2172.6440000000002
5124,2274.408
5125,2304.584
5126,2295.996
5127,2151.7599999999998
5128,2135.0519999999997
5129,2084.464
5130,1678.7682262076414
5131,1643.5922262076415
5132,1622.1802262076412
5133,1374.1282262076415
5134,1127.0
5135,635.0
5136,515.0
5137,450.0
5138,420.0
5139,417.0
5140,473.0
5141,467.0
5142,581.0
5143,644.0
5144,808.0
5145,1097.468
5146,1625.468
5147,2088.584
5148,2214.996
5149,2271.112
5150,2256.7599999999998
5151,2355.112
5152,2349.7
5153,2353.8759999999997
5154,1904.5922262076415
5155,1840.5922262076415
5156,1873.5922262076415
5157,1667.1282262076418
5158,1229.0
5159,598.0
5160,511.0
5161,451.0
5162,441.0
5163,425.0
5164,401.0
5165,384.0
5166,543.0
5167,657.0
5168,830.0
5169,1056.88
5170,1728.996
5171,2286.82
5172,2363.348
5173,2380.584
5174,2366.408
5175,2638.936
5176,2662.0519999999997
5177,2658.0519999999997
