Month,Hour,Day Type,solar_generation
7,11,1,0.05773941632675011
7,12,1,0.2557670755460897
7,13,1,0.4649159320194693
7,14,1,0.6587514883846153
7,15,1,0.665415931220987
7,16,1,0.6221779326624812
7,17,1,0.5021671747965376
7,18,1,0.535886242813619
7,19,1,0.43099389493919177
7,20,1,0.29323251744763196
7,21,1,0.14076738410450737
7,22,1,0.015727742177405638
7,23,1,0.0
7,0,2,0.0
7,1,2,0.0
7,2,2,0.0
7,3,2,0.0
7,4,2,0.0
7,5,2,0.0
7,6,2,0.0
7,7,2,0.0
7,8,2,0.0
7,9,2,0.0
7,10,2,0.0
7,11,2,0.04441991418982688
7,12,2,0.23613452969415544
7,13,2,0.4493864563123717
7,14,2,0.5574849705353631
7,15,2,0.6249365960541448
7,16,2,0.5892887267277158
7,17,2,0.5219100170870199
7,18,2,0.45957048125810485
7,19,2,0.3444101178011414
7,20,2,0.19417061541288744
7,21,2,0.09040875873913483
7,22,2,0.014288495236108418
7,23,2,0.0
7,0,3,0.0
7,1,3,0.0
7,2,3,0.0
7,3,3,0.0
7,4,3,0.0
7,5,3,0.0
7,6,3,0.0
7,7,3,0.0
7,8,3,0.0
7,9,3,0.0
7,10,3,0.0
7,11,3,0.052210086743783087
7,12,3,0.20825274765106763
7,13,3,0.34132403529879346
7,14,3,0.47484803920046176
7,15,3,0.5893138875858577
7,16,3,0.5927905932523612
7,17,3,0.38289003720856063
7,18,3,0.2739493162122222
7,19,3,0.3316964052025547
7,20,3,0.2175865616258072
7,21,3,0.08958813851449131
7,22,3,0.010090139604004653
7,23,3,0.0
7,0,4,0.0
7,1,4,0.0
7,2,4,0.0
7,3,4,0.0
7,4,4,0.0
7,5,4,0.0
7,6,4,0.0
7,7,4,0.0
7,8,4,0.0
7,9,4,0.0
7,10,4,0.0
7,11,4,0.043439768216576115
7,12,4,0.23154929451566408
7,13,4,0.43643898007337223
7,14,4,0.5267569733956438
7,15,4,0.6324401829717753
7,16,4,0.5668214423493393
7,17,4,0.4163340123209882
7,18,4,0.5166753948372038
7,19,4,0.41626161396609906
7,20,4,0.225988606792814
7,21,4,0.1293702035001548
7,22,4,0.012552853812733692
7,23,4,0.0
7,0,5,0.0
7,1,5,0.0
7,2,5,0.0
7,3,5,0.0
7,4,5,0.0
7,5,5,0.0
7,6,5,0.0
7,7,5,0.0
7,8,5,0.0
7,9,5,0.0
7,10,5,0.0
7,11,5,0.0569032857962677
7,12,5,0.29790286812864397
7,13,5,0.48661122194468165
7,14,5,0.5979869438169216
7,15,5,0.5223645296213022
7,16,5,0.5445808943838742
7,17,5,0.49663866870422607
7,18,5,0.356616360164685
7,19,5,0.3563685814439144
7,20,5,0.22315579567132912
7,21,5,0.10697330294471977
7,22,5,0.009370756221405959
7,23,5,0.0
7,0,6,0.0
7,1,6,0.0
7,2,6,0.0
7,3,6,0.0
7,4,6,0.0
7,5,6,0.0
7,6,6,0.0
7,7,6,0.0
7,8,6,0.0
7,9,6,0.0
7,10,6,0.0
7,11,6,0.06619971982498243
7,12,6,0.3151271810891237
7,13,6,0.5473948927162806
7,14,6,0.6627892145224591
7,15,6,0.665415931220987
7,16,6,0.665415931220987
7,17,6,0.6474524199369206
7,18,6,0.5404770784065739
7,19,6,0.47100215978367316
7,20,6,0.3391406395028037
7,21,6,0.14688924047990737
7,22,6,0.017770482730483126
7,23,6,0.0
7,0,7,0.0
7,1,7,0.0
7,2,7,0.0
7,3,7,0.0
7,4,7,0.0
7,5,7,0.0
7,6,7,0.0
7,7,7,0.0
7,8,7,0.0
7,9,7,0.0
7,10,7,0.0
7,11,7,0.05879459175865045
7,12,7,0.2571420266786533
7,13,7,0.4984780265166807
7,14,7,0.6639598185531539
7,15,7,0.6601116862561229
